NTM_Zone,NTM_Purpose,NTM_HH,NTM_Person,loFlow,Income_Prop
6,5,5,1,85,1
6,5,1,2,86,1
6,5,2,2,87,1
6,5,3,2,88,1
6,5,4,2,89,1
6,5,5,2,90,1
6,5,1,3,91,1
6,5,2,3,92,1
6,5,3,3,93,1
6,5,4,3,94,1
6,5,5,3,95,1
6,5,1,4,96,1
6,5,2,4,97,1
6,5,3,4,98,1
6,5,4,4,99,1
6,5,5,4,100,1
6,6,0,0,101,1
6,7,0,0,102,0.644131139
6,7,0,0,103,0.189146485
6,7,0,0,104,0.166722376
6,8,0,0,105,1
7,1,1,2,1,0.429215581
7,1,2,2,2,0.547381366
7,1,3,2,3,0.321438054
7,1,4,2,4,0.420518749
7,1,5,2,5,0.507441711
7,1,1,2,6,0.313292025
7,1,2,2,7,0.343431638
7,1,3,2,8,0.390997769
7,1,4,2,9,0.377969332
7,1,5,2,10,0.356084673
7,1,1,2,11,0.257492394
7,1,2,2,12,0.109186996
7,1,3,2,13,0.287564177
7,1,4,2,14,0.201511919
7,1,5,2,15,0.136473616
7,1,1,1,16,1
7,1,2,1,17,1
7,1,3,1,18,1
7,1,4,1,19,1
7,1,5,1,20,1
7,1,1,3,16,1
7,1,2,3,17,1
7,1,3,3,18,1
7,1,4,3,19,1
7,1,5,3,20,1
7,1,1,4,16,1
7,1,2,4,17,1
7,1,3,4,18,1
7,1,4,4,19,1
7,1,5,4,20,1
7,2,1,2,21,0.630136726
7,2,2,2,22,0.591289737
7,2,3,2,23,0.507597786
7,2,4,2,24,0.500245293
7,2,5,2,25,0.625275815
7,2,1,2,26,0.074152211
7,2,2,2,27,0.243948029
7,2,3,2,28,0.266330098
7,2,4,2,29,0.305823966
7,2,5,2,30,0.255991977
7,2,1,2,31,0.295711063
7,2,2,2,32,0.164762234
7,2,3,2,33,0.226072115
7,2,4,2,34,0.193930741
7,2,5,2,35,0.118732208
7,2,1,1,36,1
7,2,2,1,37,1
7,2,3,1,38,1
7,2,4,1,39,1
7,2,5,1,40,1
7,2,1,3,36,1
7,2,2,3,37,1
7,2,3,3,38,1
7,2,4,3,39,1
7,2,5,3,40,1
7,2,1,4,36,1
7,2,2,4,37,1
7,2,3,4,38,1
7,2,4,4,39,1
7,2,5,4,40,1
7,3,1,1,41,1
7,3,2,1,42,1
7,3,3,1,43,1
7,3,4,1,44,1
7,3,5,1,45,1
7,3,1,2,46,1
7,3,2,2,47,1
7,3,3,2,48,1
7,3,4,2,49,1
7,3,5,2,50,1
7,3,1,3,51,1
7,3,2,3,52,1
7,3,3,3,53,1
7,3,4,3,54,1
7,3,5,3,55,1
7,3,1,4,56,1
7,3,2,4,57,1
7,3,3,4,58,1
7,3,4,4,59,1
7,3,5,4,60,1
7,4,1,1,61,1
7,4,2,1,62,1
7,4,3,1,63,1
7,4,4,1,64,1
7,4,5,1,65,1
7,4,1,2,66,1
7,4,2,2,67,1
7,4,3,2,68,1
7,4,4,2,69,1
7,4,5,2,70,1
7,4,1,3,71,1
7,4,2,3,72,1
7,4,3,3,73,1
7,4,4,3,74,1
7,4,5,3,75,1
7,4,1,4,76,1
7,4,2,4,77,1
7,4,3,4,78,1
7,4,4,4,79,1
7,4,5,4,80,1
7,5,1,1,81,1
7,5,2,1,82,1
7,5,3,1,83,1
7,5,4,1,84,1
7,5,5,1,85,1
7,5,1,2,86,1
7,5,2,2,87,1
7,5,3,2,88,1
7,5,4,2,89,1
7,5,5,2,90,1
7,5,1,3,91,1
7,5,2,3,92,1
7,5,3,3,93,1
7,5,4,3,94,1
7,5,5,3,95,1
7,5,1,4,96,1
7,5,2,4,97,1
7,5,3,4,98,1
7,5,4,4,99,1
7,5,5,4,100,1
7,6,0,0,101,1
7,7,0,0,102,0.644131139
7,7,0,0,103,0.189146485
7,7,0,0,104,0.166722376
7,8,0,0,105,1
8,1,1,2,1,0.429215581
8,1,2,2,2,0.547381366
8,1,3,2,3,0.321438054
8,1,4,2,4,0.420518749
8,1,5,2,5,0.507441711
8,1,1,2,6,0.313292025
8,1,2,2,7,0.343431638
8,1,3,2,8,0.390997769
8,1,4,2,9,0.377969332
8,1,5,2,10,0.356084673
8,1,1,2,11,0.257492394
8,1,2,2,12,0.109186996
8,1,3,2,13,0.287564177
8,1,4,2,14,0.201511919
8,1,5,2,15,0.136473616
8,1,1,1,16,1
8,1,2,1,17,1
8,1,3,1,18,1
8,1,4,1,19,1
8,1,5,1,20,1
8,1,1,3,16,1
8,1,2,3,17,1
8,1,3,3,18,1
8,1,4,3,19,1
8,1,5,3,20,1
8,1,1,4,16,1
8,1,2,4,17,1
8,1,3,4,18,1
8,1,4,4,19,1
8,1,5,4,20,1
8,2,1,2,21,0.630136726
8,2,2,2,22,0.591289737
8,2,3,2,23,0.507597786
8,2,4,2,24,0.500245293
8,2,5,2,25,0.625275815
8,2,1,2,26,0.074152211
8,2,2,2,27,0.243948029
8,2,3,2,28,0.266330098
8,2,4,2,29,0.305823966
8,2,5,2,30,0.255991977
8,2,1,2,31,0.295711063
8,2,2,2,32,0.164762234
8,2,3,2,33,0.226072115
8,2,4,2,34,0.193930741
8,2,5,2,35,0.118732208
8,2,1,1,36,1
8,2,2,1,37,1
8,2,3,1,38,1
8,2,4,1,39,1
8,2,5,1,40,1
8,2,1,3,36,1
8,2,2,3,37,1
8,2,3,3,38,1
8,2,4,3,39,1
8,2,5,3,40,1
8,2,1,4,36,1
8,2,2,4,37,1
8,2,3,4,38,1
8,2,4,4,39,1
8,2,5,4,40,1
8,3,1,1,41,1
8,3,2,1,42,1
8,3,3,1,43,1
8,3,4,1,44,1
8,3,5,1,45,1
8,3,1,2,46,1
8,3,2,2,47,1
8,3,3,2,48,1
8,3,4,2,49,1
8,3,5,2,50,1
8,3,1,3,51,1
8,3,2,3,52,1
8,3,3,3,53,1
8,3,4,3,54,1
8,3,5,3,55,1
8,3,1,4,56,1
8,3,2,4,57,1
8,3,3,4,58,1
8,3,4,4,59,1
8,3,5,4,60,1
8,4,1,1,61,1
8,4,2,1,62,1
8,4,3,1,63,1
8,4,4,1,64,1
8,4,5,1,65,1
8,4,1,2,66,1
8,4,2,2,67,1
8,4,3,2,68,1
8,4,4,2,69,1
8,4,5,2,70,1
8,4,1,3,71,1
8,4,2,3,72,1
8,4,3,3,73,1
8,4,4,3,74,1
8,4,5,3,75,1
8,4,1,4,76,1
8,4,2,4,77,1
8,4,3,4,78,1
8,4,4,4,79,1
8,4,5,4,80,1
8,5,1,1,81,1
8,5,2,1,82,1
8,5,3,1,83,1
8,5,4,1,84,1
8,5,5,1,85,1
8,5,1,2,86,1
8,5,2,2,87,1
8,5,3,2,88,1
8,5,4,2,89,1
8,5,5,2,90,1
8,5,1,3,91,1
8,5,2,3,92,1
8,5,3,3,93,1
8,5,4,3,94,1
8,5,5,3,95,1
8,5,1,4,96,1
8,5,2,4,97,1
8,5,3,4,98,1
8,5,4,4,99,1
8,5,5,4,100,1
8,6,0,0,101,1
8,7,0,0,102,0.644131139
8,7,0,0,103,0.189146485
8,7,0,0,104,0.166722376
8,8,0,0,105,1
9,1,1,2,1,0.429215581
9,1,2,2,2,0.547381366
9,1,3,2,3,0.321438054
9,1,4,2,4,0.420518749
9,1,5,2,5,0.507441711
9,1,1,2,6,0.313292025
9,1,2,2,7,0.343431638
9,1,3,2,8,0.390997769
9,1,4,2,9,0.377969332
9,1,5,2,10,0.356084673
9,1,1,2,11,0.257492394
9,1,2,2,12,0.109186996
9,1,3,2,13,0.287564177
9,1,4,2,14,0.201511919
9,1,5,2,15,0.136473616
9,1,1,1,16,1
9,1,2,1,17,1
9,1,3,1,18,1
9,1,4,1,19,1
9,1,5,1,20,1
9,1,1,3,16,1
9,1,2,3,17,1
9,1,3,3,18,1
9,1,4,3,19,1
9,1,5,3,20,1
9,1,1,4,16,1
9,1,2,4,17,1
9,1,3,4,18,1
9,1,4,4,19,1
9,1,5,4,20,1
9,2,1,2,21,0.630136726
9,2,2,2,22,0.591289737
9,2,3,2,23,0.507597786
